"track_name","artist_id","duration","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre__TIKTOK","genre_TIKTOK DANCE","genre_TIKTOK OPM","genre_TIKTOK PHILIPPINES"
"Lay It Down Gmix - Main","1Xfmvd48oOhEWkscWyEbh9",302186,"2011-01-01",0.28,0.597,0.8,1,0.767566601108529,0,0.312,0.0465085654287962,0,0.18,0.565,0.62962962962963,0,1,0,0
"Bartender (feat. Akon)","3aQeKQSyrW4qWr35idm0cy",238800,"2007-06-05",0.75,0.832,0.391,8,0.657393170033971,1,0.0628,0.0569022174301544,0,0.224,0.436,0.314814814814815,0,1,0,0
"Chosen (feat. Ty Dolla $ign)","4qXC0i02bSFstECuXP2ZpL",161684,"2020-12-04",0.76,0.571,0.767,2,0.776971214017522,1,0.287,0.339044460107801,0,0.0809,0.605,0.240740740740741,0,1,0,0
"Tie Me Down (with Elley Duhé)","2ZRQcIgzPCVaT9XKhXZIzh",218295,"2018-08-03",0.72,0.548,0.839,6,0.876703021634186,1,0.0644,0.136216882217218,0,0.102,0.314,0.277777777777778,0,1,0,0
"Build a Bitch","26cMerAxjx9GedFt0lMDjm",122772,"2021-05-14",0.89,0.855,0.463,3,0.694940103701055,1,0.0367,0.218962461257158,1.77e-05,0.347,0.866,0.302469135802469,0,1,0,0
"Ever After","1mCY2mHctggfYiEqpCgcSz",231559,"2018-05-11",0.5,0.774,0.8,11,0.728911138923654,0,0.0314,0.261344343204444,3.8e-06,0.0888,0.902,0.37037037037037,0,1,0,0
"Calling My Phone","6jGMq4yGs7aQzuGsMgVgZR",205458,"2021-04-02",0.89,0.907,0.393,4,0.688431968532094,0,0.0539,0.45509008924918,1.35e-06,0.135,0.202,0.314814814814815,0,1,0,0
"Clap For 'Em (feat. Flo Milli & Sada Baby)","03T8GHHcCEtcfnjbP5aHLg",125579,"2021-03-20",0.7,0.903,0.785,1,0.793098516002146,1,0.322,0.0247121689987634,0,0.0652,0.823,0.469135802469136,0,1,0,0
"Butter","3Nrfpe0tUJi4K4DXYWgMUX",164441,"2021-05-21",0.98,0.759,0.459,8,0.776005721437511,1,0.0948,0.00324877306974494,0,0.0906,0.695,0.345679012345679,0,1,0,0
"Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy)","3aQeKQSyrW4qWr35idm0cy",235733,"2011-07-08",0.4,0.782,0.676,1,0.741784373323798,1,0.324,0.00792087100821956,1.17e-06,0.141,0.878,0.641975308641975,0,1,0,0
"Love Me","1uNFoZAHBGtllmzznpCI3s",191573,"2009-01-01",0.43,0.729,0.868,3,0.842803504380476,1,0.0609,0.00946478242201355,0,0.283,0.632,0.438271604938272,0,1,0,0
